Date,Open,High,Low,Close,,,,,,,,,,,,,,,,,,,,
11/14/2017,978.5,978.5,978.5,978.5,,,,,,,,,,,,,,,,,,,,
11/15/2017,985,985,985,985,,,,,,,,,,,,,,,,,,,,
11/16/2017,991,991,991,991,,,,,,,,,,,,,,,,,,,,
11/17/2017,1004.5,1004.5,1004.5,1004.5,,,,,,,,,,,,,,,,,,,,
11/20/2017,1006.5,1006.5,1006.5,1006.5,,,,,,,,,,,,,,,,,,,,
11/21/2017,1006,1006,1006,1006,,,,,,,,,,,,,,,,,,,,
11/22/2017,1011,1011,1011,1011,,,,,,,,,,,,,,,,,,,,
11/24/2017,1008.5,1008.5,1008.5,1008.5,,,,,,,,,,,,,,,,,,,,
11/27/2017,1009.75,1009.75,1009.75,1009.75,,,,,,,,,,,,,,,,,,,,
11/28/2017,1009.75,1009.75,1009.75,1009.75,,,,,,,,,,,,,,,,,,,,
11/29/2017,1008.25,1008.25,1008.25,1008.25,,,,,,,,,,,,,,,,,,,,
11/30/2017,1005.75,1005.75,1005.75,1005.75,,,,,,,,,,,,,,,,,,,,
12/01/2017,1012.5,1012.5,1012.5,1012.5,,,,,,,,,,,,,,,,,,,,
12/04/2017,1012.75,1012.75,1012.75,1012.75,,,,,,,,,,,,,,,,,,,,
12/05/2017,1018,1018,1018,1018,,,,,,,,,,,,,,,,,,,,
12/06/2017,1014.25,1014.25,1014.25,1014.25,,,,,,,,,,,,,,,,,,,,
12/07/2017,1005.25,1005.25,1005.25,1005.25,,,,,,,,,,,,,,,,,,,,
12/08/2017,1004,1004,1004,1004,,,,,,,,,,,,,,,,,,,,
12/11/2017,1000,1000,1000,1000,,,,,,,,,,,,,,,,,,,,
12/12/2017,995.5,995.5,995.5,995.5,,,,,,,,,,,,,,,,,,,,
12/13/2017,998.5,998.5,998.5,998.5,,,,,,,,,,,,,,,,,,,,
12/14/2017,992,992,992,992,,,,,,,,,,,,,,,,,,,,
12/15/2017,992.25,992.25,992.25,992.25,,,,,,,,,,,,,,,,,,,,
12/18/2017,988.5,988.5,988.5,988.5,,,,,,,,,,,,,,,,,,,,
12/19/2017,984.25,984.25,984.25,984.25,,,,,,,,,,,,,,,,,,,,
12/20/2017,984,984,984,984,,,,,,,,,,,,,,,,,,,,
12/21/2017,984.25,984.25,984.25,984.25,,,,,,,,,,,,,,,,,,,,
12/22/2017,984.5,984.5,984.5,984.5,,,,,,,,,,,,,,,,,,,,
12/26/2017,992.5,992.5,992.5,992.5,,,,,,,,,,,,,,,,,,,,
12/27/2017,992.25,992.25,992.25,992.25,,,,,,,,,,,,,,,,,,,,
12/28/2017,987.5,987.5,987.5,987.5,,,,,,,,,,,,,,,,,,,,
12/29/2017,989,989,989,989,,,,,,,,,,,,,,,,,,,,
01/02/2018,994,994,994,994,,,,,,,,,,,,,,,,,,,,
01/03/2018,994.75,994.75,994.75,994.75,,,,,,,,,,,,,,,,,,,,
01/04/2018,994.25,994.25,994.25,994.25,,,,,,,,,,,,,,,,,,,,
01/05/2018,995.75,995.75,995.75,995.75,,,,,,,,,,,,,,,,,,,,
01/08/2018,994.75,994.75,994.75,994.75,,,,,,,,,,,,,,,,,,,,
01/09/2018,993.75,993.75,993.75,993.75,,,,,,,,,,,,,,,,,,,,
01/10/2018,986.75,986.75,986.75,986.75,,,,,,,,,,,,,,,,,,,,
01/11/2018,985,985,985,985,,,,,,,,,,,,,,,,,,,,
01/12/2018,996.75,996.75,996.75,996.75,,,,,,,,,,,,,,,,,,,,
01/16/2018,999.5,999.5,999.5,999.5,,,,,,,,,,,,,,,,,,,,
01/17/2018,999.5,999.5,999.5,999.5,,,,,,,,,,,,,,,,,,,,
01/18/2018,1003.5,1003.5,1003.5,1003.5,,,,,,,,,,,,,,,,,,,,
01/19/2018,1003.5,1003.5,1003.5,1003.5,,,,,,,,,,,,,,,,,,,,
01/22/2018,1006.5,1006.5,1006.5,1006.5,,,,,,,,,,,,,,,,,,,,
01/23/2018,1008.75,1008.75,1008.75,1008.75,,,,,,,,,,,,,,,,,,,,
01/24/2018,1011.25,1011.25,1011.25,1011.25,,,,,,,,,,,,,,,,,,,,
01/25/2018,1012.25,1012.25,1012.25,1012.25,,,,,,,,,,,,,,,,,,,,
01/26/2018,1009,1009,1009,1009,,,,,,,,,,,,,,,,,,,,
01/29/2018,1011.5,1011.5,1011.5,1011.5,,,,,,,,,,,,,,,,,,,,
01/30/2018,1014.5,1014.5,1014.5,1014.5,,,,,,,,,,,,,,,,,,,,
01/31/2018,1011.75,1011.75,1011.75,1011.75,,,,,,,,,,,,,,,,,,,,
02/01/2018,1007.25,1007.25,1007.25,1007.25,,,,,,,,,,,,,,,,,,,,
02/02/2018,1001.5,1001.5,1001.5,1001.5,,,,,,,,,,,,,,,,,,,,
02/05/2018,996.5,996.5,996.5,996.5,,,,,,,,,,,,,,,,,,,,
02/06/2018,1008.25,1008.25,1008.25,1008.25,,,,,,,,,,,,,,,,,,,,
02/07/2018,1004.25,1004.25,1004.25,1004.25,,,,,,,,,,,,,,,,,,,,
02/08/2018,1007.75,1007.75,1007.75,1007.75,,,,,,,,,,,,,,,,,,,,
02/09/2018,1003.5,1003.5,1003.5,1003.5,,,,,,,,,,,,,,,,,,,,
02/12/2018,1010.25,1010.25,1010.25,1010.25,,,,,,,,,,,,,,,,,,,,
02/13/2018,1010.25,1010.25,1010.25,1010.25,,,,,,,,,,,,,,,,,,,,
02/14/2018,1006.75,1006.75,1006.75,1006.75,,,,,,,,,,,,,,,,,,,,
02/15/2018,1011.25,1011.25,1011.25,1011.25,,,,,,,,,,,,,,,,,,,,
02/16/2018,1010.5,1010.5,1010.5,1010.5,,,,,,,,,,,,,,,,,,,,
02/20/2018,1012.75,1012.75,1012.75,1012.75,,,,,,,,,,,,,,,,,,,,
02/21/2018,1013.25,1013.25,1013.25,1013.25,,,,,,,,,,,,,,,,,,,,
02/22/2018,1012.25,1012.25,1012.25,1012.25,,,,,,,,,,,,,,,,,,,,
02/23/2018,1014.75,1014.75,1014.75,1014.75,,,,,,,,,,,,,,,,,,,,
02/26/2018,1015.25,1015.25,1015.25,1015.25,,,,,,,,,,,,,,,,,,,,
02/27/2018,1013.75,1013.75,1013.75,1013.75,,,,,,,,,,,,,,,,,,,,
02/28/2018,1013,1013,1013,1013,,,,,,,,,,,,,,,,,,,,
03/01/2018,1013.25,1013.25,1013.25,1013.25,,,,,,,,,,,,,,,,,,,,
03/02/2018,1008.25,1008.25,1008.25,1008.25,,,,,,,,,,,,,,,,,,,,
03/05/2018,1012.25,1012.25,1012.25,1012.25,,,,,,,,,,,,,,,,,,,,
03/06/2018,1019.75,1019.75,1019.75,1019.75,,,,,,,,,,,,,,,,,,,,
03/07/2018,1020,1020,1020,1020,,,,,,,,,,,,,,,,,,,,
03/08/2018,1020,1020,1020,1020,,,,,,,,,,,,,,,,,,,,
03/09/2018,1009.25,1009.25,1009.25,1009.25,,,,,,,,,,,,,,,,,,,,
03/12/2018,1016.5,1016.5,1016.5,1016.5,,,,,,,,,,,,,,,,,,,,
03/13/2018,1021.75,1021.75,1021.75,1021.75,,,,,,,,,,,,,,,,,,,,
03/14/2018,1010.5,1010.5,1010.5,1010.5,,,,,,,,,,,,,,,,,,,,
03/15/2018,1012.25,1012.25,1012.25,1012.25,,,,,,,,,,,,,,,,,,,,
03/16/2018,1017.5,1017.5,1017.5,1017.5,,,,,,,,,,,,,,,,,,,,
03/19/2018,1009.75,1009.75,1009.75,1009.75,,,,,,,,,,,,,,,,,,,,
03/20/2018,1011.5,1011.5,1011.5,1011.5,,,,,,,,,,,,,,,,,,,,
03/21/2018,1010.5,1010.5,1010.5,1010.5,,,,,,,,,,,,,,,,,,,,
03/22/2018,1010.25,1010.25,1010.25,1010.25,,,,,,,,,,,,,,,,,,,,
03/23/2018,1009.25,1009.25,1009.25,1009.25,,,,,,,,,,,,,,,,,,,,
03/26/2018,1008.75,1008.75,1008.75,1008.75,,,,,,,,,,,,,,,,,,,,
03/27/2018,1004.25,1004.25,1004.25,1004.25,,,,,,,,,,,,,,,,,,,,
