"source,text,created_at,retweet_count,favorite_count,is_retweet,id_str"
"Twitter for iPhone,For all of the ""geniuses"" out there many who have been in other administrations and ""taken to the cleaners"" by China that want me to get together with the EU and others to go after China Trade practices remember the EU &amp; all treat us VERY unfairly on Trade also. Will change!,09-03-2019 13:33:16,15819,63282,false,1168879633984643072"
"Twitter for iPhone,We are doing very well in our negotiations with China. While I am sure they would love to be dealing with a new administration so they could continue their practice of ""ripoff USA""($600 B/year)16 months PLUS is a long time to be hemorrhaging jobs and companies on a long-shot....,09-03-2019 13:12:02,15796,72611,false,1168874291376656384"
"Twitter for iPhone,....And then think what happens to China when I win. Deal would get MUCH TOUGHER! In the meantime China's Supply Chain will crumble and businesses jobs and money will be gone!,09-03-2019 13:12:02,12028,55580,false,1168874292626501633"
"Twitter for iPhone,....is about American Freedom. Redirect the supply chain. There is no reason to buy everything from China!,09-01-2019 12:25:29,11592,55965,false,1168137799712854016"
"Twitter for iPhone,Peter Morici Economist: Tariffs will not impact American consumers that much because the Chinese currency has gone down which gives our importers a discount. Importers can find suppliers outside of China. Absolutely worth it we don't want to be servants to the Chinese! This...,09-01-2019 12:25:28,14382,64593,false,1168137797280174080"
"Twitter for iPhone,Just watched Congresswoman Debbie Dingell and many other Democrats wanting to give up on our very successful Trade battle with China which has had its worst Economic year in memory (and getting worse). We are taking in $Billions. Will be big for Farmers and ALL!,08-31-2019 18:29:37,15666,67513,false,1167867052410802178"
"Twitter for iPhone,General Motors which was once the Giant of Detroit is now one of the smallest auto manufacturers there. They moved major plants to China BEFORE I CAME INTO OFFICE. This was done despite the saving help given them by the USA. Now they should start moving back to America again?,08-30-2019 12:06:41,17023,77483,false,1167408293062594560"
"Twitter for iPhone,So interesting to read and see all of the free and interesting advice I am getting on China from people who have tried to handle it before and failed miserably - In fact they got taken to the cleaners. We are doing very well with China. This has never happened to them before!,08-28-2019 12:06:23,24341,111090,false,1166683442098163712"
"Twitter for iPhone,In France we are all laughing at how knowingly inaccurate the U.S. reporting of events and conversations at the G-7 is. These Leaders and many others are getting a major case study of Fake News at it's finest! They've got it all wrong from Iran to China Tariffs to Boris!,08-25-2019 23:10:47,22962,86749,false,1165763483322834944"
"Twitter for iPhone,RT @WhiteHouse: ""We have excess corn in various parts of our country with our farmers because China did not do what they said they were goi...,08-25-2019 18:31:43,17415,0,true,1165693252797755392"
"Twitter for iPhone,When I looked up to the sky and jokingly said ""I am the chosen one"" at a press conference two days ago referring to taking on Trade with China little did I realize that the media would claim that I had a ""Messiah complex."" They knew I was kidding being sarcastic and just....,08-24-2019 15:00:34,26741,136543,false,1165277725541765120"
"Twitter for iPhone,For all of the Fake News Reporters that don't have a clue as to what the law is relative to Presidential powers China etc. try looking at the Emergency Economic Powers Act of 1977. Case closed!,08-24-2019 03:58:32,23571,91740,false,1165111122510237696"
"Twitter for iPhone,RT @TreasurySpox: U.S. Treasury Designates China as a Currency Manipulator: https://t.co/7OnySGjzH1,08-24-2019 00:50:50,5659,0,true,1165063885440847872"
"Twitter for iPhone,...unfair Trading Relationship. China should not have put new Tariffs on 75 BILLION DOLLARS of United States product (politically motivated!). Starting on October 1st the 250 BILLION DOLLARS of goods and products from China currently being taxed at 25% will be taxed at 30%...,08-23-2019 21:00:33,15554,67154,false,1165005929831702529"
"Twitter for iPhone,...Additionally the remaining 300 BILLION DOLLARS of goods and products from China that was being taxed from September 1st at 10% will now be taxed at 15%. Thank you for your attention to this matter!,08-23-2019 21:00:33,17058,74013,false,1165005930733473793"
"Twitter for iPhone,For many years China (and many other countries) has been taking advantage of the United States on Trade Intellectual Property Theft and much more. Our Country has been losing HUNDREDS OF BILLIONS OF DOLLARS a year to China with no end in sight....,08-23-2019 21:00:32,21042,87990,false,1165005927864512512"
"Twitter for iPhone,....Sadly past Administrations have allowed China to get so far ahead of Fair and Balanced Trade that it has become a great burden to the American Taxpayer. As President I can no longer allow this to happen! In the spirit of achieving Fair Trade we must Balance this very....,08-23-2019 21:00:32,7879,29719,false,1165005928996986881"
"Twitter for iPhone,....all deliveries of Fentanyl from China (or anywhere else!). Fentanyl kills 100000 Americans a year. President Xi said this would stop - it didn't. Our Economy because of our gains in the last 2 1/2 years is MUCH larger than that of China. We will keep it that way!,08-23-2019 14:59:05,22201,94863,false,1164914963766546435"
"Twitter for iPhone,....better off without them. The vast amounts of money made and stolen by China from the United States year after year for decades will and must STOP. Our great American companies are hereby ordered to immediately start looking for an alternative to China including bringing..,08-23-2019 14:59:04,15038,56138,false,1164914960046133249"
"Twitter for iPhone,....your companies HOME and making your products in the USA. I will be responding to China's Tariffs this afternoon. This is a GREAT opportunity for the United States. Also I am ordering all carriers including Fed Ex Amazon UPS and the Post Office to SEARCH FOR &amp; REFUSE....,08-23-2019 14:59:04,19458,84036,false,1164914962529247232"
"Twitter for iPhone,Our Country has lost stupidly Trillions of Dollars with China over many years. They have stolen our Intellectual Property at a rate of Hundreds of Billions of Dollars a year &amp; they want to continue. I won't let that happen! We don't need China and frankly would be far....,08-23-2019 14:59:03,34947,135785,false,1164914959131848705"
"Twitter for iPhone,Doing great with China and other Trade Deals. The only problem we have is Jay Powell and the Fed. He's like a golfer who can't putt has no touch. Big U.S. growth if he does the right thing BIG CUT - but don't count on him! So far he has called it wrong and only let us down....,08-21-2019 12:52:27,14969,66563,false,1164158321265451008"
"Twitter for iPhone,Our economy is the best in the world by far. Lowest unemployment ever within almost all categories. Poised for big growth after trade deals are completed. Import prices down China eating Tariffs. Helping targeted Farmers from big Tariff money coming in. Great future for USA!,08-18-2019 19:24:09,18612,77659,false,1163169730477395968"
"Twitter for iPhone,We are doing very well with China and talking!,08-18-2019 18:27:56,14679,85832,false,1163155586797723648"
"Twitter for iPhone,""If they don't get this Trade Deal with the U.S. done China could have it first recession (or worse!) in years. There's disinvestment in China right now. Also the Fed is too tight (I agree)."" Steve Moore Heritage Foundation,08-15-2019 20:14:16,15431,65491,false,1162095183082729475"
"Twitter for iPhone,Biden doesn't have a clue! I will solve the China problem. https://t.co/v0sAoVEAoB,08-15-2019 19:29:19,13773,57389,false,1162083867697852416"
"Twitter for iPhone,The Fake News Media is doing everything they can to crash the economy because they think that will be bad for me and my re-election. The problem they have is that the economy is way too strong and we will soon be winning big on Trade and everyone knows that including China!,08-15-2019 16:52:53,21570,80707,false,1162044502292537344"
"Twitter for iPhone,RT @realDonaldTrump: Good things were stated on the call with China the other day. They are eating the Tariffs with the devaluation of thei...,08-15-2019 13:59:30,17184,0,true,1162000867719094274"
"Twitter for iPhone,RT @realDonaldTrump: ..deferral to December. It actually helps China more than us but will be reciprocated. Millions of jobs are being los...,08-15-2019 13:59:23,17035,0,true,1162000838765830146"
"Twitter for iPhone,I know President Xi of China very well. He is a great leader who very much has the respect of his people. He is also a good man in a ""tough business."" I have ZERO doubt that if President Xi wants to quickly and humanely solve the Hong Kong problem he can do it. Personal meeting?,08-14-2019 22:59:13,23461,105814,false,1161774305895694336"
"Twitter for iPhone,Good things were stated on the call with China the other day. They are eating the Tariffs with the devaluation of their currency and ""pouring"" money into their system. The American consumer is fine with or without the September date but much good will come from the short.....,08-14-2019 22:32:56,17185,88976,false,1161767689762889728"
"Twitter for iPhone,..deferral to December. It actually helps China more than us but will be reciprocated. Millions of jobs are being lost in China to other non-Tariffed countries. Thousands of companies are leaving. Of course China wants to make a deal. Let them work humanely with Hong Kong first!,08-14-2019 22:32:56,17069,86076,false,1161767691646115840"
"Twitter for iPhone,We are winning big time against China. Companies &amp; jobs are fleeing. Prices to us have not gone up and in some cases have come down. China is not our problem though Hong Kong is not helping. Our problem is with the Fed. Raised too much &amp; too fast. Now too slow to cut....,08-14-2019 19:21:05,18897,85916,false,1161719408202584064"
"Twitter for iPhone,As usual China said they were going to be buying ""big"" from our great American Farmers. So far they have not done what they said. Maybe this will be different!,08-13-2019 14:10:58,11632,54036,false,1161278978201661440"
"Twitter for iPhone,Through massive devaluation of their currency and pumping vast sums of money into their system the tens of billions of dollars that the U.S. is receiving is a gift from China. Prices not up no inflation. Farmers getting more than China would be spending. Fake News won't report!,08-13-2019 12:49:05,17124,65790,false,1161258370478858240"
