"source,text,created_at,retweet_count,favorite_count,is_retweet,id_str"
"Twitter for iPhone,...Trade Agreement."" @business @ChuckGrassley @joniernst @SenatorFischer @BenSasse Making great progress for our Farmers. Approved E-15 year round. Big additional list to be submitted &amp; approved within two weeks. Will be even better for Ethanol and we save our small refineries!,09-03-2019 02:37:54,10243,50333,false,1168714708691632129"
"Twitter for iPhone,....Trade Agreement."" @business @ChuckGrassley @joniernst  @debfisher @BenSasse Making great progress for our Farmers. Approved E-15 year round. Big additional list to be submitted and approved within two weeks. Will be even better for Ethanol and we save our small refineries!,09-02-2019 21:58:14,5905,22528,false,1168644326982901763"
"Twitter for iPhone,Just watched Congresswoman Debbie Dingell and many other Democrats wanting to give up on our very successful Trade battle with China which has had its worst Economic year in memory (and getting worse). We are taking in $Billions. Will be big for Farmers and ALL!,08-31-2019 18:29:37,15666,67513,false,1167867052410802178"
"Twitter for iPhone,RT @SenatorBraun: Representing Indiana on the @SenateAg Committee means it's so important to sit down with Hoosier farmers to dig into what...,08-31-2019 11:54:05,2218,0,true,1167767510969737216"
"Twitter for iPhone,The Farmers are going to be so happy when they see what we are doing for Ethanol not even including the E-15 year around which is already done. It will be a giant package get ready! At the same time I was able to save the small refineries from certain closing. Great for all!,08-29-2019 13:19:47,18364,80977,false,1167064301565358080"
"Twitter for iPhone,RT @WhiteHouse: ""We have excess corn in various parts of our country with our farmers because China did not do what they said they were goi...,08-25-2019 18:31:43,17415,0,true,1165693252797755392"
"Twitter for iPhone,Big Trade Deal just agreed to with Prime Minister Abe of Japan. Will be great for our Farmers Ranchers and more. Really big Corn purchase!,08-25-2019 16:38:12,16625,70705,false,1165664682952163328"
"Twitter for iPhone,Our economy is the best in the world by far. Lowest unemployment ever within almost all categories. Poised for big growth after trade deals are completed. Import prices down China eating Tariffs. Helping targeted Farmers from big Tariff money coming in. Great future for USA!,08-18-2019 19:24:09,18612,77659,false,1163169730477395968"
"Twitter for iPhone,Our Great Farmers know how important it is to win on Trade. They will be the big winners!,08-15-2019 16:24:00,11760,56035,false,1162037232368144384"
"Twitter for iPhone,As usual China said they were going to be buying ""big"" from our great American Farmers. So far they have not done what they said. Maybe this will be different!,08-13-2019 14:10:58,11632,54036,false,1161278978201661440"
"Twitter for iPhone,Through massive devaluation of their currency and pumping vast sums of money into their system the tens of billions of dollars that the U.S. is receiving is a gift from China. Prices not up no inflation. Farmers getting more than China would be spending. Fake News won't report!,08-13-2019 12:49:05,17124,65790,false,1161258370478858240"
"Twitter for iPhone,RT @TrumpWarRoom: ""No battle is over in a minute. If it is it wasn't worth fighting."" America's great farmers are standing firmly behind @...,08-12-2019 19:33:43,13358,0,true,1160997814207418369"
"Twitter for iPhone,RT @GOPChairwoman: America's farmers support @realDonaldTrump! https://t.co/nFSkewSUUM,08-12-2019 03:53:11,9770,0,true,1160761119239286784"
"Twitter for iPhone,As they have learned in the last two years our great American Farmers know that China will not be able to hurt them in that their President has stood with them and done what no other president would do - And I'll do it again next year if necessary!,08-06-2019 12:36:44,19906,97892,false,1158718548518297600"
"Twitter for iPhone,....used currency manipulation to steal our businesses and factories hurt our jobs depress our workers' wages and harm our farmers' prices. Not anymore!,08-05-2019 15:58:59,15040,82527,false,1158407059496460288"
"Twitter for iPhone,Farmers are starting to do great again after 15 years of a downward spiral. The 16 Billion Dollar China ""replacement"" money didn't exactly hurt!,07-23-2019 11:54:02,12110,59437,false,1153634372442107904"
"Twitter for iPhone,RT @RepLaHood: #USMCA will put America in a stronger position globally. Delaying #USMCA further only prevents farmers manufacturers and...,07-20-2019 11:05:27,6464,0,true,1152534981262086144"
