Date,Price_brl
11/1/2019,3.9903
10/31/2019,4.0184
10/30/2019,3.9909
10/29/2019,3.9986
10/28/2019,3.991
10/25/2019,4.0038
10/24/2019,4.0415
10/23/2019,4.0346
10/22/2019,4.0819
10/21/2019,4.1293
10/18/2019,4.1117
10/17/2019,4.1643
10/16/2019,4.1518
10/15/2019,4.1807
10/14/2019,4.1265
10/11/2019,4.1097
10/10/2019,4.1095
10/9/2019,4.1104
10/8/2019,4.0954
10/7/2019,4.1071
10/4/2019,4.0556
10/3/2019,4.0841
10/2/2019,4.1293
10/1/2019,4.159
9/30/2019,4.1556
9/27/2019,4.1602
9/26/2019,4.1711
9/25/2019,4.149
9/24/2019,4.165
9/23/2019,4.1638
9/20/2019,4.148
9/19/2019,4.1678
9/18/2019,4.1112
9/17/2019,4.0777
9/16/2019,4.081
9/13/2019,4.0849
9/12/2019,4.0608
9/11/2019,4.068
9/10/2019,4.0808
9/9/2019,4.0953
9/6/2019,4.0618
9/5/2019,4.1094
9/4/2019,4.095
9/3/2019,4.1681
9/2/2019,4.1871
8/30/2019,4.1453
8/29/2019,4.1688
8/28/2019,4.1682
8/27/2019,4.1311
8/26/2019,4.1571
8/23/2019,4.1198
8/22/2019,4.0706
8/21/2019,4.0269
8/20/2019,4.0542
8/19/2019,4.0743
8/16/2019,4.0058
8/15/2019,3.991
8/14/2019,4.0526
8/13/2019,3.966
8/12/2019,3.9855
8/9/2019,3.9416
8/8/2019,3.9199
8/7/2019,3.9691
8/6/2019,3.9612
8/5/2019,3.9783
8/2/2019,3.8893
8/1/2019,3.8403
7/31/2019,3.8129
7/30/2019,3.7906
7/29/2019,3.7816
7/26/2019,3.7761
7/25/2019,3.779
7/24/2019,3.7736
7/23/2019,3.7737
7/22/2019,3.7407
7/19/2019,3.7494
7/18/2019,3.7193
7/17/2019,3.7641
7/16/2019,3.7687
7/15/2019,3.7567
7/12/2019,3.7373
7/11/2019,3.7551
7/10/2019,3.7546
7/9/2019,3.8005
7/8/2019,3.8073
7/5/2019,3.8221
7/4/2019,3.8011
7/3/2019,3.8272
7/2/2019,3.8456
7/1/2019,3.8405
6/28/2019,3.852
6/27/2019,3.8196
6/26/2019,3.8445
6/25/2019,3.848
6/24/2019,3.8254
6/21/2019,3.8192
6/20/2019,3.839
6/19/2019,3.839
6/18/2019,3.8603
6/17/2019,3.8883
6/14/2019,3.8958
6/13/2019,3.8487
6/12/2019,3.8672
6/11/2019,3.8571
6/10/2019,3.8887
6/7/2019,3.8789
6/6/2019,3.8798
6/5/2019,3.8811
6/4/2019,3.8548
6/3/2019,3.8859
5/31/2019,3.9228
5/30/2019,3.9818
5/29/2019,3.9747
5/28/2019,4.0247
5/27/2019,4.0423
5/24/2019,4.0225
5/23/2019,4.0401
5/22/2019,4.0403
5/21/2019,4.039
5/20/2019,4.0968
5/17/2019,4.0999
5/16/2019,4.0469
5/15/2019,4.0017
5/14/2019,3.9751
5/13/2019,3.9939
5/10/2019,3.9572
5/9/2019,3.9466
5/8/2019,3.9285
5/7/2019,3.971
5/6/2019,3.9695
5/3/2019,3.9382
5/2/2019,3.9661
5/1/2019,3.9202
4/30/2019,3.9215
4/29/2019,3.9456
4/26/2019,3.9293
4/25/2019,3.9542
4/24/2019,3.9927
4/23/2019,3.9211
4/22/2019,3.9365
4/19/2019,3.9275
4/18/2019,3.9274
4/17/2019,3.9382
4/16/2019,3.904
4/15/2019,3.8723
4/12/2019,3.8819
4/11/2019,3.8582
4/10/2019,3.8251
4/9/2019,3.851
4/8/2019,3.8495
4/5/2019,3.8735
4/4/2019,3.859
4/3/2019,3.87
4/2/2019,3.8537
4/1/2019,3.8518
3/29/2019,3.9247
3/28/2019,3.901
3/27/2019,3.9935
3/26/2019,3.8773
3/25/2019,3.8544
3/22/2019,3.9071
3/21/2019,3.793
3/20/2019,3.7763
3/19/2019,3.7891
3/18/2019,3.7915
3/15/2019,3.8144
3/14/2019,3.8443
3/13/2019,3.8147
3/12/2019,3.8114
3/11/2019,3.8403
3/8/2019,3.8668
3/7/2019,3.8704
3/6/2019,3.8401
3/5/2019,3.7755
3/4/2019,3.7755
3/1/2019,3.7752
2/28/2019,3.7514
2/27/2019,3.7287
2/26/2019,3.7489
2/25/2019,3.7521
2/22/2019,3.7485
2/21/2019,3.7696
2/20/2019,3.7277
2/19/2019,3.7231
2/18/2019,3.7353
2/15/2019,3.7008
2/14/2019,3.7233
2/13/2019,3.7544
2/12/2019,3.7098
2/11/2019,3.7577
2/8/2019,3.7292
2/7/2019,3.7167
2/6/2019,3.6983
2/5/2019,3.6698
2/4/2019,3.6687
2/1/2019,3.6597
1/31/2019,3.644
1/30/2019,3.685
1/29/2019,3.7202
1/28/2019,3.7619
1/25/2019,3.7708
1/24/2019,3.7733
1/23/2019,3.7663
1/22/2019,3.8152
1/21/2019,3.755
1/18/2019,3.7517
1/17/2019,3.7504
1/16/2019,3.7366
1/15/2019,3.7172
1/14/2019,3.6991
1/11/2019,3.7113
1/10/2019,3.7105
1/9/2019,3.6807
1/8/2019,3.7133
1/7/2019,3.7356
1/4/2019,3.7155
1/3/2019,3.7565
1/2/2019,3.79
1/1/2019,3.8813
12/31/2018,3.8813
12/28/2018,3.8813
12/27/2018,3.8735
12/26/2018,3.922
12/25/2018,3.904
12/24/2018,3.904
12/21/2018,3.904
12/20/2018,3.8422
12/19/2018,3.8977
12/18/2018,3.9124
12/17/2018,3.8995
12/14/2018,3.9171
12/13/2018,3.8911
12/12/2018,3.8555
12/11/2018,3.904
12/10/2018,3.9181
12/7/2018,3.9075
12/6/2018,3.8793
12/5/2018,3.8686
12/4/2018,3.8525
12/3/2018,3.8423
11/30/2018,3.8669
11/29/2018,3.8527
11/28/2018,3.851
11/27/2018,3.8752
11/26/2018,3.941
11/23/2018,3.8283
11/22/2018,3.8045
11/21/2018,3.7976
11/20/2018,3.7572
11/19/2018,3.757
11/16/2018,3.7435
11/15/2018,3.7843
11/14/2018,3.7841
11/13/2018,3.8032
11/12/2018,3.7675
11/9/2018,3.7335
11/8/2018,3.7605
11/7/2018,3.7318
11/6/2018,3.7615
11/5/2018,3.7262
11/2/2018,3.6968
11/1/2018,3.7012
10/31/2018,3.722
10/30/2018,3.6974
10/29/2018,3.7187
10/26/2018,3.6429
10/25/2018,3.7058
10/24/2018,3.735
10/23/2018,3.6942
10/22/2018,3.686
10/19/2018,3.7149
10/18/2018,3.7216
10/17/2018,3.6875
10/16/2018,3.7252
10/15/2018,3.7357
10/12/2018,3.783
10/11/2018,3.7812
10/10/2018,3.7555
10/9/2018,3.7155
10/8/2018,3.779
10/5/2018,3.8413
10/4/2018,3.8745
10/3/2018,3.9015
10/2/2018,3.9414
10/1/2018,4.0181
9/28/2018,4.0491
9/27/2018,4.0123
9/26/2018,4.0322
9/25/2018,4.0757
9/24/2018,4.0928
9/21/2018,4.0516
9/20/2018,4.0771
9/19/2018,4.1315
9/18/2018,4.1604
9/17/2018,4.1324
9/14/2018,4.1742
9/13/2018,4.2077
9/12/2018,4.1579
9/11/2018,4.1535
9/10/2018,4.0867
9/7/2018,4.0597
9/6/2018,4.059
9/5/2018,4.1466
9/4/2018,4.1602
9/3/2018,4.159
8/31/2018,4.0556
8/30/2018,4.1495
8/29/2018,4.1074
8/28/2018,4.1342
8/27/2018,4.0775
8/24/2018,4.102
8/23/2018,4.1155
8/22/2018,4.0425
8/21/2018,4.0477
8/20/2018,3.97
8/17/2018,3.9116
8/16/2018,3.9072
8/15/2018,3.9055
8/14/2018,3.8673
8/13/2018,3.884
8/10/2018,3.8596
8/9/2018,3.8015
8/8/2018,3.7721
8/7/2018,3.7515
8/6/2018,3.7363
8/3/2018,3.708
8/2/2018,3.7503
8/1/2018,3.7499
7/31/2018,3.7563
7/30/2018,3.7307
7/27/2018,3.7114
7/26/2018,3.7462
7/25/2018,3.6886
7/24/2018,3.7481
7/23/2018,3.7826
7/20/2018,3.7681
7/19/2018,3.8295
7/18/2018,3.8512
7/17/2018,3.8388
7/16/2018,3.8605
7/13/2018,3.8518
7/12/2018,3.8822
7/11/2018,3.8773
7/10/2018,3.8152
7/9/2018,3.8727
7/6/2018,3.8628
7/5/2018,3.9327
7/4/2018,3.9137
7/3/2018,3.8975
7/2/2018,3.9129
6/29/2018,3.8771
6/28/2018,3.8624
6/27/2018,3.8628
6/26/2018,3.8016
6/25/2018,3.7767
6/22/2018,3.786
6/21/2018,3.7691
6/20/2018,3.7715
6/19/2018,3.7471
6/18/2018,3.747
6/15/2018,3.7296
6/14/2018,3.806
6/13/2018,3.7201
6/12/2018,3.7185
6/11/2018,3.7097
6/8/2018,3.7094
6/7/2018,3.9078
6/6/2018,3.8488
6/5/2018,3.8068
6/4/2018,3.7468
6/1/2018,3.7633
5/31/2018,3.7235
5/30/2018,3.7241
5/29/2018,3.7254
5/28/2018,3.7352
5/25/2018,3.6524
5/24/2018,3.6496
5/23/2018,3.6288
5/22/2018,3.6448
5/21/2018,3.6772
5/18/2018,3.737
5/17/2018,3.6966
5/16/2018,3.6761
5/15/2018,3.654
5/14/2018,3.6231
5/11/2018,3.5999
5/10/2018,3.5502
5/9/2018,3.5924
5/8/2018,3.5636
5/7/2018,3.5534
5/4/2018,3.5303
5/3/2018,3.5282
5/2/2018,3.5518
5/1/2018,3.5076
4/30/2018,3.5072
4/27/2018,3.4568
4/26/2018,3.4755
4/25/2018,3.485
4/24/2018,3.4714
4/23/2018,3.4527
4/20/2018,3.413
4/19/2018,3.3885
4/18/2018,3.3805
4/17/2018,3.408
4/16/2018,3.4194
4/13/2018,3.4223
4/12/2018,3.4133
4/11/2018,3.3746
4/10/2018,3.4088
4/9/2018,3.42
4/6/2018,3.3697
4/5/2018,3.3449
4/4/2018,3.3297
4/3/2018,3.3413
4/2/2018,3.3112
3/30/2018,3.3051
3/29/2018,3.306
3/28/2018,3.3205
3/27/2018,3.3288
3/26/2018,3.3119
3/23/2018,3.3123
3/22/2018,3.3159
3/21/2018,3.2725
3/20/2018,3.3117
3/19/2018,3.2862
3/16/2018,3.2811
3/15/2018,3.2862
3/14/2018,3.2607
3/13/2018,3.2607
3/12/2018,3.2622
3/9/2018,3.2553
3/8/2018,3.2669
3/7/2018,3.2454
3/6/2018,3.2117
3/5/2018,3.243
3/2/2018,3.2528
3/1/2018,3.2515
2/28/2018,3.2462
2/27/2018,3.2516
2/26/2018,3.2258
2/23/2018,3.2379
2/22/2018,3.2502
2/21/2018,3.2692
2/20/2018,3.2557
2/19/2018,3.2346
2/16/2018,3.2312
2/15/2018,3.2279
2/14/2018,3.2174
2/13/2018,3.2957
2/12/2018,3.2954
2/9/2018,3.2942
2/8/2018,3.2858
2/7/2018,3.2714
2/6/2018,3.2348
2/5/2018,3.2625
2/2/2018,3.2181
2/1/2018,3.1669
1/31/2018,3.1859
1/30/2018,3.1812
1/29/2018,3.155
1/26/2018,3.151
1/25/2018,3.1485
1/24/2018,3.1465
1/23/2018,3.237
1/22/2018,3.2021
1/19/2018,3.1962
1/18/2018,3.2065
1/17/2018,3.2238
1/16/2018,3.2243
1/15/2018,3.2163
1/12/2018,3.2064
1/11/2018,3.2155
1/10/2018,3.2283
1/9/2018,3.2483
1/8/2018,3.2407
1/5/2018,3.2292
1/4/2018,3.2346
1/3/2018,3.237
1/2/2018,3.2591
1/1/2018,3.3125
12/29/2017,3.3125
12/28/2017,3.3125
12/27/2017,3.315
12/26/2017,3.3111
12/25/2017,3.337
12/22/2017,3.337
12/21/2017,3.3084
12/20/2017,3.2979
12/19/2017,3.29
12/18/2017,3.2923
12/15/2017,3.2947
12/14/2017,3.3419
12/13/2017,3.31
12/12/2017,3.3065
12/11/2017,3.3048
12/8/2017,3.2919
12/7/2017,3.2907
12/6/2017,3.2357
12/5/2017,3.2418
12/4/2017,3.2442
12/1/2017,3.2581
11/30/2017,3.2727
11/29/2017,3.2461
11/28/2017,3.2131
11/27/2017,3.2278
11/24/2017,3.233
11/23/2017,3.2219
11/22/2017,3.2243
11/21/2017,3.2588
11/20/2017,3.2574
11/17/2017,3.2574
11/16/2017,3.274
11/15/2017,3.3133
11/14/2017,3.3131
11/13/2017,3.2794
11/10/2017,3.2779
11/9/2017,3.2521
11/8/2017,3.2548
11/7/2017,3.2714
11/6/2017,3.2495
11/3/2017,3.3144
11/2/2017,3.268
11/1/2017,3.2677
10/31/2017,3.2727
10/30/2017,3.2891
10/27/2017,3.2363
10/26/2017,3.2906
10/25/2017,3.2332
10/24/2017,3.2435
10/23/2017,3.2378
10/20/2017,3.1926
10/19/2017,3.1671
10/18/2017,3.1711
10/17/2017,3.158
10/16/2017,3.1712
10/13/2017,3.1452
10/12/2017,3.1705
10/11/2017,3.1724
10/10/2017,3.1795
10/9/2017,3.1888
10/6/2017,3.1561
10/5/2017,3.1545
10/4/2017,3.1351
10/3/2017,3.1427
10/2/2017,3.1545
