Date,Price_cny
11/1/2019,7.0375
10/31/2019,7.0395
10/30/2019,7.0553
10/29/2019,7.0658
10/28/2019,7.0678
10/25/2019,7.0653
10/24/2019,7.069
10/23/2019,7.0656
10/22/2019,7.0769
10/21/2019,7.0762
10/18/2019,7.0817
10/17/2019,7.0774
10/16/2019,7.0935
10/15/2019,7.0818
10/14/2019,7.0675
10/11/2019,7.088
10/10/2019,7.1162
10/9/2019,7.1324
10/8/2019,7.1444
10/7/2019,7.1483
10/4/2019,7.1483
10/3/2019,7.1483
10/2/2019,7.1483
10/1/2019,7.1483
9/30/2019,7.1483
9/27/2019,7.1227
9/26/2019,7.1326
9/25/2019,7.1318
9/24/2019,7.1164
9/23/2019,7.1185
9/20/2019,7.0916
9/19/2019,7.0965
9/18/2019,7.086
9/17/2019,7.0918
9/16/2019,7.0674
9/13/2019,7.0794
9/12/2019,7.0793
9/11/2019,7.1167
9/10/2019,7.1127
9/9/2019,7.122
9/6/2019,7.1157
9/5/2019,7.1485
9/4/2019,7.146
9/3/2019,7.1789
9/2/2019,7.1719
8/30/2019,7.1568
8/29/2019,7.1445
8/28/2019,7.1653
8/27/2019,7.1623
8/26/2019,7.1513
8/23/2019,7.096
8/22/2019,7.0836
8/21/2019,7.0632
8/20/2019,7.0605
8/19/2019,7.0507
8/16/2019,7.0428
8/15/2019,7.034
8/14/2019,7.0244
8/13/2019,7.0435
8/12/2019,7.0582
8/9/2019,7.0624
8/8/2019,7.0451
8/7/2019,7.0602
8/6/2019,7.0264
8/5/2019,7.0508
8/2/2019,6.9405
8/1/2019,6.8986
7/31/2019,6.8841
7/30/2019,6.8845
7/29/2019,6.8934
7/26/2019,6.8792
7/25/2019,6.8726
7/24/2019,6.8725
7/23/2019,6.8792
7/22/2019,6.8811
7/19/2019,6.8822
7/18/2019,6.88
7/17/2019,6.8736
7/16/2019,6.8762
7/15/2019,6.8777
7/12/2019,6.8808
7/11/2019,6.8702
7/10/2019,6.8729
7/9/2019,6.888
7/8/2019,6.8819
7/5/2019,6.8936
7/4/2019,6.8716
7/3/2019,6.8811
7/2/2019,6.8729
7/1/2019,6.8517
6/28/2019,6.8668
6/27/2019,6.8771
6/26/2019,6.88
6/25/2019,6.8798
6/24/2019,6.877
6/21/2019,6.87
6/20/2019,6.852
6/19/2019,6.9036
6/18/2019,6.9032
6/17/2019,6.9258
6/14/2019,6.9255
6/13/2019,6.9216
6/12/2019,6.9177
6/11/2019,6.9114
6/10/2019,6.931
6/7/2019,6.9097
6/6/2019,6.9097
6/5/2019,6.9091
6/4/2019,6.9083
6/3/2019,6.9037
5/31/2019,6.905
5/30/2019,6.9019
5/29/2019,6.9145
5/28/2019,6.9101
5/27/2019,6.8979
5/24/2019,6.9002
5/23/2019,6.9105
5/22/2019,6.9064
5/21/2019,6.9023
5/20/2019,6.9123
5/17/2019,6.9187
5/16/2019,6.8838
5/15/2019,6.8761
5/14/2019,6.876
5/13/2019,6.8784
5/10/2019,6.824
5/9/2019,6.8274
5/8/2019,6.7828
5/7/2019,6.7769
5/6/2019,6.7645
5/3/2019,6.7346
5/2/2019,6.7346
5/1/2019,6.7349
4/30/2019,6.7349
4/29/2019,6.7336
4/26/2019,6.7298
4/25/2019,6.7431
4/24/2019,6.7219
4/23/2019,6.7259
4/22/2019,6.712
4/19/2019,6.7042
4/18/2019,6.7091
4/17/2019,6.6882
4/16/2019,6.7122
4/15/2019,6.7086
4/12/2019,6.7044
4/11/2019,6.7194
4/10/2019,6.716
4/9/2019,6.7119
4/8/2019,6.7164
4/5/2019,6.719
4/4/2019,6.7174
4/3/2019,6.7114
4/2/2019,6.7233
4/1/2019,6.7115
3/29/2019,6.712
3/28/2019,6.739
3/27/2019,6.7271
3/26/2019,6.7157
3/25/2019,6.7094
3/22/2019,6.7181
3/21/2019,6.6993
3/20/2019,6.6946
3/19/2019,6.7119
3/18/2019,6.713
3/15/2019,6.7138
3/14/2019,6.723
3/13/2019,6.7071
3/12/2019,6.7085
3/11/2019,6.7265
3/8/2019,6.7216
3/7/2019,6.7149
3/6/2019,6.7119
3/5/2019,6.7076
3/4/2019,6.7073
3/1/2019,6.7064
2/28/2019,6.6941
