Date,Price_eur
11/1/2019,0.8955
10/31/2019,0.8967
10/30/2019,0.8969
10/29/2019,0.9
10/28/2019,0.9009
10/25/2019,0.9025
10/24/2019,0.9005
10/23/2019,0.8984
10/22/2019,0.8989
10/21/2019,0.897
10/18/2019,0.8952
10/17/2019,0.899
10/16/2019,0.9032
10/15/2019,0.9063
10/14/2019,0.9067
10/11/2019,0.9056
10/10/2019,0.9086
10/9/2019,0.9115
10/8/2019,0.9127
10/7/2019,0.9115
10/4/2019,0.9109
10/3/2019,0.9119
10/2/2019,0.9125
10/1/2019,0.9147
9/30/2019,0.9174
9/27/2019,0.9142
9/26/2019,0.9156
9/25/2019,0.9139
9/24/2019,0.9074
9/23/2019,0.9096
9/20/2019,0.9076
9/19/2019,0.9057
9/18/2019,0.9066
9/17/2019,0.9032
9/16/2019,0.909
9/13/2019,0.903
9/12/2019,0.904
9/11/2019,0.9083
9/10/2019,0.9055
9/9/2019,0.9052
9/6/2019,0.9067
9/5/2019,0.9062
9/4/2019,0.9062
9/3/2019,0.9113
9/2/2019,0.9117
8/30/2019,0.9099
8/29/2019,0.9044
8/28/2019,0.9028
8/27/2019,0.9016
8/26/2019,0.9008
8/23/2019,0.8973
8/22/2019,0.9025
8/21/2019,0.9022
8/20/2019,0.9009
8/19/2019,0.9027
8/16/2019,0.9017
8/15/2019,0.9004
8/14/2019,0.8978
8/13/2019,0.8952
8/12/2019,0.8919
8/9/2019,0.8929
8/8/2019,0.8944
8/7/2019,0.893
8/6/2019,0.8929
8/5/2019,0.8927
8/2/2019,0.9002
8/1/2019,0.9022
7/31/2019,0.9029
7/30/2019,0.8964
7/29/2019,0.8973
7/26/2019,0.8988
7/25/2019,0.8971
7/24/2019,0.8976
7/23/2019,0.8966
7/22/2019,0.8921
7/19/2019,0.8911
7/18/2019,0.8868
7/17/2019,0.891
7/16/2019,0.892
7/15/2019,0.8882
7/12/2019,0.8872
7/11/2019,0.8886
7/10/2019,0.8889
7/9/2019,0.8922
7/8/2019,0.8918
7/5/2019,0.8909
7/4/2019,0.8861
7/3/2019,0.8867
7/2/2019,0.8861
7/1/2019,0.8861
6/28/2019,0.8796
6/27/2019,0.8796
6/26/2019,0.8796
6/25/2019,0.8799
6/24/2019,0.8772
6/21/2019,0.8797
6/20/2019,0.8855
6/19/2019,0.8908
6/18/2019,0.8934
6/17/2019,0.8914
6/14/2019,0.8921
6/13/2019,0.8868
6/12/2019,0.8858
6/11/2019,0.8825
6/10/2019,0.8838
6/7/2019,0.8823
6/6/2019,0.8869
6/5/2019,0.8911
6/4/2019,0.8888
6/3/2019,0.8896
5/31/2019,0.8942
5/30/2019,0.8984
5/29/2019,0.8984
5/28/2019,0.8961
5/27/2019,0.893
5/24/2019,0.8925
5/23/2019,0.8944
5/22/2019,0.8966
5/21/2019,0.896
5/20/2019,0.8952
5/17/2019,0.8961
5/16/2019,0.895
5/15/2019,0.8927
5/14/2019,0.8919
5/13/2019,0.891
5/10/2019,0.8901
5/9/2019,0.8915
5/8/2019,0.8935
5/7/2019,0.8936
5/6/2019,0.893
5/3/2019,0.8927
5/2/2019,0.8946
5/1/2019,0.8931
4/30/2019,0.8917
4/29/2019,0.894
4/26/2019,0.897
4/25/2019,0.8983
4/24/2019,0.8965
4/23/2019,0.8906
4/22/2019,0.8881
4/19/2019,0.889
4/18/2019,0.8904
4/17/2019,0.8852
4/16/2019,0.8864
4/15/2019,0.8842
4/12/2019,0.8848
4/11/2019,0.8887
4/10/2019,0.8871
4/9/2019,0.8879
4/8/2019,0.8881
4/5/2019,0.8915
4/4/2019,0.8912
4/3/2019,0.8901
4/2/2019,0.8924
4/1/2019,0.8918
3/29/2019,0.8914
3/28/2019,0.8905
3/27/2019,0.8893
3/26/2019,0.8877
3/25/2019,0.884
3/22/2019,0.8839
3/21/2019,0.8792
3/20/2019,0.8761
3/19/2019,0.8809
3/18/2019,0.8821
3/15/2019,0.883
3/14/2019,0.8847
3/13/2019,0.8829
3/12/2019,0.8859
3/11/2019,0.8889
3/8/2019,0.8896
3/7/2019,0.8933
3/6/2019,0.8844
3/5/2019,0.8843
3/4/2019,0.8819
3/1/2019,0.879
2/28/2019,0.8794
2/27/2019,0.8796
2/26/2019,0.8774
2/25/2019,0.8803
2/22/2019,0.8816
2/21/2019,0.8821
2/20/2019,0.8821
2/19/2019,0.8818
2/18/2019,0.8841
2/15/2019,0.8854
2/14/2019,0.8853
2/13/2019,0.888
2/12/2019,0.883
2/11/2019,0.8869
2/8/2019,0.8826
2/7/2019,0.8813
2/6/2019,0.8801
2/5/2019,0.8761
2/4/2019,0.8742
2/1/2019,0.873
1/31/2019,0.8736
1/30/2019,0.8712
1/29/2019,0.8748
1/28/2019,0.8751
1/25/2019,0.8767
1/24/2019,0.8845
1/23/2019,0.8787
1/22/2019,0.8803
1/21/2019,0.8798
1/18/2019,0.88
1/17/2019,0.8776
1/16/2019,0.8772
1/15/2019,0.8761
1/14/2019,0.8713
1/11/2019,0.872
1/10/2019,0.8696
1/9/2019,0.8664
1/8/2019,0.874
1/7/2019,0.8714
1/4/2019,0.8776
1/3/2019,0.8777
1/2/2019,0.8815
1/1/2019,0.8722
12/31/2018,0.8718
12/28/2018,0.8739
12/27/2018,0.8749
12/26/2018,0.8809
12/25/2018,0.8801
12/24/2018,0.8772
12/21/2018,0.8793
12/20/2018,0.8737
12/19/2018,0.879
12/18/2018,0.8801
12/17/2018,0.8812
12/14/2018,0.8842
12/13/2018,0.88
12/12/2018,0.8797
12/11/2018,0.8836
12/10/2018,0.8806
12/7/2018,0.8789
12/6/2018,0.8791
12/5/2018,0.8814
12/4/2018,0.8814
12/3/2018,0.8808
11/30/2018,0.8837
11/29/2018,0.8778
11/28/2018,0.8798
11/27/2018,0.8859
11/26/2018,0.8828
11/23/2018,0.8817
11/22/2018,0.8766
11/21/2018,0.8783
11/20/2018,0.8794
11/19/2018,0.8731
11/16/2018,0.8757
11/15/2018,0.8828
11/14/2018,0.8841
11/13/2018,0.8857
11/12/2018,0.8914
11/9/2018,0.8821
11/8/2018,0.88
11/7/2018,0.8752
11/6/2018,0.8751
11/5/2018,0.8767
11/2/2018,0.8781
11/1/2018,0.8765
10/31/2018,0.8841
10/30/2018,0.8814
10/29/2018,0.8793
10/26/2018,0.8768
10/25/2018,0.8791
10/24/2018,0.8778
10/23/2018,0.8717
10/22/2018,0.8722
10/19/2018,0.8685
10/18/2018,0.8731
10/17/2018,0.8694
10/16/2018,0.864
10/15/2018,0.8637
10/12/2018,0.8649
10/11/2018,0.8625
