Date,Price_inr
11/1/2019,70.76
10/31/2019,70.98
10/30/2019,70.953
10/29/2019,70.89
10/28/2019,70.745
10/25/2019,70.82
10/24/2019,70.965
10/23/2019,70.725
10/22/2019,70.809
10/21/2019,70.925
10/18/2019,71.09
10/17/2019,71.13
10/16/2019,71.364
10/15/2019,71.5
10/14/2019,71.237
10/11/2019,70.924
10/10/2019,70.99
10/9/2019,71.12
10/8/2019,71.22
10/7/2019,70.975
10/4/2019,70.825
10/3/2019,71.03
10/2/2019,71.15
10/1/2019,71.11
9/30/2019,70.645
9/27/2019,70.509
9/26/2019,70.964
9/25/2019,70.988
9/24/2019,70.971
9/23/2019,70.799
9/20/2019,71.075
9/19/2019,71.375
9/18/2019,71.145
9/17/2019,71.49
9/16/2019,71.58
9/13/2019,70.985
9/12/2019,70.967
9/11/2019,71.577
9/10/2019,71.875
9/9/2019,71.778
9/6/2019,71.645
9/5/2019,71.928
9/4/2019,71.989
9/3/2019,72.17
9/2/2019,71.969
8/30/2019,71.453
8/29/2019,71.69
8/28/2019,71.829
8/27/2019,71.543
8/26/2019,72.025
8/23/2019,71.513
8/22/2019,71.93
8/21/2019,71.439
8/20/2019,71.549
8/19/2019,71.451
8/16/2019,71.155
8/15/2019,71.81
8/14/2019,71.275
8/13/2019,71.418
8/12/2019,71.283
8/9/2019,70.924
8/8/2019,70.42
8/7/2019,71.145
8/6/2019,71.04
8/5/2019,70.821
8/2/2019,69.7
8/1/2019,69.017
7/31/2019,68.875
7/30/2019,68.862
7/29/2019,68.755
7/26/2019,68.88
7/25/2019,69.041
7/24/2019,68.98
7/23/2019,69.033
7/22/2019,68.93
7/19/2019,68.86
7/18/2019,68.855
7/17/2019,68.846
7/16/2019,68.65
7/15/2019,68.545
7/12/2019,68.56
7/11/2019,68.41
7/10/2019,68.419
7/9/2019,68.565
7/8/2019,68.566
7/5/2019,68.45
7/4/2019,68.527
7/3/2019,68.8
7/2/2019,68.89
7/1/2019,68.885
6/28/2019,68.95
6/27/2019,69.088
6/26/2019,69.245
6/25/2019,69.334
6/24/2019,69.273
6/21/2019,69.615
6/20/2019,69.52
6/19/2019,69.65
6/18/2019,69.61
6/17/2019,69.85
6/14/2019,69.833
6/13/2019,69.53
6/12/2019,69.375
6/11/2019,69.385
6/10/2019,69.535
6/7/2019,69.355
6/6/2019,69.165
6/5/2019,69.385
6/4/2019,69.291
6/3/2019,69.171
5/31/2019,69.58
5/30/2019,69.825
5/29/2019,69.845
5/28/2019,69.61
5/27/2019,69.504
5/24/2019,69.38
5/23/2019,69.665
5/22/2019,69.65
5/21/2019,69.645
5/20/2019,69.609
5/17/2019,70.28
5/16/2019,70.13
5/15/2019,70.249
5/14/2019,70.332
5/13/2019,70.57
5/10/2019,70.015
5/9/2019,70.2
5/8/2019,69.72
5/7/2019,69.645
5/6/2019,69.38
5/3/2019,69.095
5/2/2019,69.41
5/1/2019,69.545
4/30/2019,69.647
4/29/2019,69.817
4/26/2019,69.85
4/25/2019,70.17
4/24/2019,69.96
4/23/2019,69.77
4/22/2019,69.7
4/19/2019,69.407
4/18/2019,69.395
4/17/2019,69.431
4/16/2019,69.53
4/15/2019,69.395
4/12/2019,69.19
4/11/2019,69.02
4/10/2019,69.15
4/9/2019,69.28
4/8/2019,69.555
4/5/2019,69.17
4/4/2019,68.98
4/3/2019,68.45
4/2/2019,68.92
4/1/2019,69.205
3/29/2019,69.185
3/28/2019,69.19
3/27/2019,69.1
3/26/2019,68.996
3/25/2019,68.89
3/22/2019,69.17
3/21/2019,68.81
3/20/2019,68.79
3/19/2019,69.015
3/18/2019,68.625
3/15/2019,68.963
3/14/2019,69.365
3/13/2019,69.529
3/12/2019,69.625
3/11/2019,69.85
3/8/2019,70.012
3/7/2019,70.116
3/6/2019,70.08
3/5/2019,70.49
3/4/2019,70.91
3/1/2019,71
2/28/2019,70.84
2/27/2019,71.2
2/26/2019,70.96
2/25/2019,70.834
2/22/2019,71.035
2/21/2019,71.165
2/20/2019,71.01
2/19/2019,71.3
2/18/2019,71.387
2/15/2019,71.33
2/14/2019,71.02
2/13/2019,70.875
2/12/2019,70.535
2/11/2019,71.14
2/8/2019,71.175
2/7/2019,71.3
2/6/2019,71.55
2/5/2019,71.53
2/4/2019,71.71
2/1/2019,71.435
1/31/2019,70.96
1/30/2019,71.235
1/29/2019,71.39
1/28/2019,71.07
1/25/2019,70.9
1/24/2019,71
1/23/2019,71.19
1/22/2019,71.26
1/21/2019,71.188
1/18/2019,71.21
1/17/2019,71.05
1/16/2019,70.98
1/15/2019,71.1
1/14/2019,70.76
1/11/2019,70.399
1/10/2019,70.42
1/9/2019,70.56
1/8/2019,70.14
1/7/2019,69.803
1/4/2019,69.55
1/3/2019,70.11
1/2/2019,70
1/1/2019,69.453
12/31/2018,69.57
12/28/2018,69.933
12/27/2018,70.361
12/26/2018,70.07
12/25/2018,70.05
12/24/2018,70.105
12/21/2018,70.14
12/20/2018,69.98
12/19/2018,70.279
12/18/2018,70.62
12/17/2018,71.61
12/14/2018,71.92
12/13/2018,71.53
12/12/2018,71.84
12/11/2018,72.291
12/10/2018,72.52
12/7/2018,70.86
12/6/2018,70.85
12/5/2018,70.56
12/4/2018,70.53
12/3/2018,70.44
11/30/2018,69.65
11/29/2018,69.78
11/28/2018,70.64
11/27/2018,70.785
11/26/2018,70.82
11/23/2018,70.655
11/22/2018,70.69
11/21/2018,71.305
11/20/2018,71.43
11/19/2018,71.61
11/16/2018,71.98
11/15/2018,71.915
11/14/2018,72.31
11/13/2018,72.615
11/12/2018,72.86
11/9/2018,72.48
11/8/2018,72.38
11/7/2018,72.45
11/6/2018,72.955
11/5/2018,73.08
11/2/2018,72.44
11/1/2018,73.455
10/31/2018,73.96
10/30/2018,73.68
10/29/2018,73.4
10/26/2018,73.46
10/25/2018,73.23
10/24/2018,73.23
10/23/2018,73.55
10/22/2018,73.56
10/19/2018,73.375
10/18/2018,73.53
10/17/2018,73.6
10/16/2018,73.465
10/15/2018,73.77
10/12/2018,73.61
10/11/2018,74.05
10/10/2018,74.25
10/9/2018,74.34
10/8/2018,74.065
10/5/2018,73.77
10/4/2018,73.63
10/3/2018,73.345
10/2/2018,72.925
10/1/2018,72.925
9/28/2018,72.51
9/27/2018,72.57
9/26/2018,72.6
9/25/2018,72.685
9/24/2018,72.67
9/21/2018,72.24
9/20/2018,72.015
9/19/2018,72.36
9/18/2018,72.71
9/17/2018,72.54
9/14/2018,71.88
9/13/2018,72.037
9/12/2018,72.16
9/11/2018,72.64
9/10/2018,72.455
9/7/2018,71.79
9/6/2018,71.95
9/5/2018,71.755
9/4/2018,71.585
9/3/2018,71.215
8/31/2018,71.005
8/30/2018,70.745
8/29/2018,70.535
8/28/2018,70.1
8/27/2018,70.165
8/24/2018,69.97
8/23/2018,70.105
8/22/2018,69.87
8/21/2018,69.86
8/20/2018,69.82
8/17/2018,70.1
8/16/2018,70.09
8/15/2018,69.92
8/14/2018,69.96
8/13/2018,70.02
8/10/2018,68.89
8/9/2018,68.76
8/8/2018,68.66
8/7/2018,68.63
8/6/2018,68.83
8/3/2018,68.545
8/2/2018,68.625
8/1/2018,68.35
7/31/2018,68.46
7/30/2018,68.605
7/27/2018,68.605
7/26/2018,68.66
7/25/2018,68.73
7/24/2018,68.947
7/23/2018,68.845
7/20/2018,68.74
7/19/2018,69.02
7/18/2018,68.625
7/17/2018,68.43
7/16/2018,68.55
7/13/2018,68.5
7/12/2018,68.52
7/11/2018,68.73
7/10/2018,68.755
7/9/2018,68.66
7/6/2018,68.805
7/5/2018,68.88
7/4/2018,68.69
7/3/2018,68.55
7/2/2018,68.72
6/29/2018,68.46
6/28/2018,68.84
6/27/2018,68.64
6/26/2018,68.37
6/25/2018,68.115
6/22/2018,67.87
6/21/2018,67.945
6/20/2018,68.06
6/19/2018,68.31
6/18/2018,68.04
6/15/2018,68.06
6/14/2018,67.69
6/13/2018,67.645
6/12/2018,67.48
6/11/2018,67.47
6/8/2018,67.53
6/7/2018,67.42
6/6/2018,66.84
6/5/2018,67.1
