Date,Price_mxn
11/1/2019,19.1117
10/31/2019,19.2345
10/30/2019,19.0811
10/29/2019,19.1225
10/28/2019,19.12
10/25/2019,19.0631
10/24/2019,19.137
10/23/2019,19.115
10/22/2019,19.1474
10/21/2019,19.1237
10/18/2019,19.1104
10/17/2019,19.198
10/16/2019,19.202
10/15/2019,19.2405
10/14/2019,19.2715
10/11/2019,19.3245
10/10/2019,19.4492
10/9/2019,19.57
10/8/2019,19.6265
10/7/2019,19.574
10/4/2019,19.5152
10/3/2019,19.6537
10/2/2019,19.7937
10/1/2019,19.8225
9/30/2019,19.7325
9/27/2019,19.6917
9/26/2019,19.6722
9/25/2019,19.5714
9/24/2019,19.4443
9/23/2019,19.4765
9/20/2019,19.4543
9/19/2019,19.4557
9/18/2019,19.3975
9/17/2019,19.3627
9/16/2019,19.4405
9/13/2019,19.4058
9/12/2019,19.437
9/11/2019,19.509
9/10/2019,19.498
9/9/2019,19.5742
9/6/2019,19.5373
9/5/2019,19.7442
9/4/2019,19.7186
9/3/2019,19.9732
9/2/2019,20.1477
8/30/2019,20.0678
8/29/2019,20.1403
8/28/2019,20.1042
8/27/2019,19.9885
8/26/2019,19.9333
8/23/2019,19.9204
8/22/2019,19.8251
8/21/2019,19.688
8/20/2019,19.7662
8/19/2019,19.861
8/16/2019,19.6604
8/15/2019,19.61
8/14/2019,19.6752
8/13/2019,19.3773
8/12/2019,19.6064
8/9/2019,19.4102
8/8/2019,19.411
8/7/2019,19.6289
8/6/2019,19.5744
8/5/2019,19.6165
8/2/2019,19.3065
8/1/2019,19.2373
7/31/2019,19.134
7/30/2019,19.0635
7/29/2019,19.0638
7/26/2019,19.0438
7/25/2019,19.02
7/24/2019,19.0595
7/23/2019,19.1774
7/22/2019,19.0561
7/19/2019,19.0304
7/18/2019,18.945
7/17/2019,19.0687
7/16/2019,19.094
7/15/2019,18.9756
7/12/2019,18.988
7/11/2019,19.0764
7/10/2019,19.14
7/9/2019,19.155
7/8/2019,18.9143
7/5/2019,19.0165
7/4/2019,19.0055
7/3/2019,19.0175
7/2/2019,19.0513
7/1/2019,19.1258
6/28/2019,19.2237
6/27/2019,19.1784
6/26/2019,19.1273
6/25/2019,19.226
6/24/2019,19.2015
6/21/2019,19.1266
6/20/2019,19.0048
6/19/2019,19.018
6/18/2019,19.1236
6/17/2019,19.1776
6/14/2019,19.1587
6/13/2019,19.1965
6/12/2019,19.173
6/11/2019,19.1318
6/10/2019,19.2171
6/7/2019,19.618
6/6/2019,19.6894
6/5/2019,19.5843
6/4/2019,19.5648
6/3/2019,19.7793
5/31/2019,19.6172
5/30/2019,19.1425
5/29/2019,19.1323
5/28/2019,19.1929
5/27/2019,19.0605
5/24/2019,19.0491
5/23/2019,19.043
5/22/2019,18.9873
5/21/2019,19.0104
5/20/2019,19.0685
5/17/2019,19.1681
5/16/2019,19.1259
5/15/2019,19.0522
5/14/2019,19.151
5/13/2019,19.2245
5/10/2019,19.1029
5/9/2019,19.234
5/8/2019,19.086
5/7/2019,19.0325
5/6/2019,18.9902
5/3/2019,18.923
5/2/2019,19.122
5/1/2019,18.9943
4/30/2019,18.9477
4/29/2019,19.014
4/26/2019,18.9407
4/25/2019,19.0225
4/24/2019,19.0683
4/23/2019,18.9047
4/22/2019,18.8258
4/19/2019,18.7671
4/18/2019,18.8031
4/17/2019,18.8278
4/16/2019,18.872
4/15/2019,18.8562
4/12/2019,18.7583
4/11/2019,18.8335
4/10/2019,18.8165
4/9/2019,18.9312
4/8/2019,18.9675
4/5/2019,19.0738
4/4/2019,19.1474
4/3/2019,19.22
4/2/2019,19.228
4/1/2019,19.144
3/29/2019,19.429
3/28/2019,19.3425
3/27/2019,19.3625
3/26/2019,19.106
3/25/2019,19.0188
3/22/2019,19.094
3/21/2019,18.8621
3/20/2019,18.8287
