"source,text,created_at,retweet_count,favorite_count,is_retweet,id_str"
"Twitter Media Studio,Thank you @MarkLevinShow and John Eastman! https://t.co/PsoyEVynjT,06-10-2019 15:43:11,13488,49470,false,1138109362101268480"
"Twitter for iPhone,RT @SecretarySonny: BREAKING: In Oval Office meeting today the Chinese committed to buy an additional 10 million metric tons of U.S. soybe...,02-22-2019 22:51:34,23637,0,true,1099079277977522176"
"Twitter for iPhone,""China officially echoed President Donald Trump's optimism over bilateral trade talks. Chinese officials have begun preparing to restart imports of U.S. Soybeans &amp; Liquified Natural Gas the first sign confirming the claims of President Donald Trump and the White House that......,12-05-2018 12:46:28,14786,65166,false,1070298360572198913"
"Twitter for iPhone,European Union representatives told me that they would start buying soybeans from our great farmers immediately. Also they will be buying vast amounts of LNG!,07-26-2018 01:07:28,20220,91623,false,1022287249432563712"
"Twitter for iPhone,Farmers have been on a downward trend for 15 years. The price of soybeans has fallen 50% since 5 years before the Election. A big reason is bad (terrible) Trade Deals with other countries. They put on massive Tariffs and Barriers. Canada charges 275% on Dairy. Farmers will WIN!,07-20-2018 13:04:44,18755,75987,false,1020293430398935040"
"Twitter for iPhone,RT @realDonaldTrump: I am in Brussels but always thinking about our farmers. Soy beans fell 50% from 2012 to my election. Farmers have don...,07-11-2018 21:10:31,17360,0,true,1017154189569527809"
"Twitter for iPhone,I am in Brussels but always thinking about our farmers. Soy beans fell 50% from 2012 to my election. Farmers have done poorly for 15 years. Other countries' trade barriers and tariffs have been destroying their businesses. I will open...,07-11-2018 12:40:31,17371,81131,false,1017025845905494016"
"Twitter for iPhone,China already charges a tax of 16% on soybeans. Canada has all sorts of trade barriers on our Agricultural products. Not acceptable!,06-04-2018 12:41:47,14518,64831,false,1003617811254710273"
""
""
""
